STUDY_ID	SAMPLE_ID	FERMT1	FERMT2	FERMT3
laml_tcga_pan_can_atlas_2018	TCGA-AB-3011-03	-0.2338	-0.1276	-0.6394
laml_tcga_pan_can_atlas_2018	TCGA-AB-2913-03	-1.0059	-0.5845	-1.2746
laml_tcga_pan_can_atlas_2018	TCGA-AB-2822-03	-1.6147	-0.391	0.4991
laml_tcga_pan_can_atlas_2018	TCGA-AB-2957-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2806-03	-1.0507	-0.193	-1.8034
laml_tcga_pan_can_atlas_2018	TCGA-AB-2931-03	0.0771	0.166	0.6482
laml_tcga_pan_can_atlas_2018	TCGA-AB-2952-03	-0.4409	-1.1227	1.9964
laml_tcga_pan_can_atlas_2018	TCGA-AB-2906-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2853-03	-1.6147	-1.6517	-1.2519
laml_tcga_pan_can_atlas_2018	TCGA-AB-2805-03	-1.6147	-1.6718	-0.8148
laml_tcga_pan_can_atlas_2018	TCGA-AB-2966-03	0.5874	-1.5168	-1.8966
laml_tcga_pan_can_atlas_2018	TCGA-AB-2838-03	1.2556	1.0886	1.2976
laml_tcga_pan_can_atlas_2018	TCGA-AB-2874-03	-0.684	-1.5536	-0.0402
laml_tcga_pan_can_atlas_2018	TCGA-AB-2857-03	1.1272	2.1935	0.6526
laml_tcga_pan_can_atlas_2018	TCGA-AB-2980-03	-0.8053	1.8013	-2.2509
laml_tcga_pan_can_atlas_2018	TCGA-AB-2834-03	-0.9563	0.3824	-0.551
laml_tcga_pan_can_atlas_2018	TCGA-AB-2993-03	0.8241	0.4428	-0.8136
laml_tcga_pan_can_atlas_2018	TCGA-AB-2939-03	-0.7318	-0.0759	0.6909
laml_tcga_pan_can_atlas_2018	TCGA-AB-2949-03	-0.3196	-0.7818	-0.2058
laml_tcga_pan_can_atlas_2018	TCGA-AB-2842-03	-1.6147	-0.162	-1.0043
laml_tcga_pan_can_atlas_2018	TCGA-AB-2899-03	-0.7704	0.8856	0.6033
laml_tcga_pan_can_atlas_2018	TCGA-AB-2808-03	-1.3353	1.056	-1.6657
laml_tcga_pan_can_atlas_2018	TCGA-AB-2872-03	-1.2501	1.285	-0.332
laml_tcga_pan_can_atlas_2018	TCGA-AB-2885-03	0.4235	-1.1917	1.4171
laml_tcga_pan_can_atlas_2018	TCGA-AB-2895-03	1.0405	-0.5604	0.0142
laml_tcga_pan_can_atlas_2018	TCGA-AB-2933-03	1.0898	-0.8307	-0.2436
laml_tcga_pan_can_atlas_2018	TCGA-AB-2943-03	0.7015	1.2256	0.9854
laml_tcga_pan_can_atlas_2018	TCGA-AB-2921-03	-0.6036	-1.1456	0.2925
laml_tcga_pan_can_atlas_2018	TCGA-AB-2876-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2869-03	1.1901	-0.6324	-0.2679
laml_tcga_pan_can_atlas_2018	TCGA-AB-2911-03	1.2812	-0.7273	0.0415
laml_tcga_pan_can_atlas_2018	TCGA-AB-2851-03	-1.1283	-0.8254	1.8097
laml_tcga_pan_can_atlas_2018	TCGA-AB-2818-03	-1.6147	-0.6479	0.351
laml_tcga_pan_can_atlas_2018	TCGA-AB-2996-03	-1.3226	0.9093	-0.1253
laml_tcga_pan_can_atlas_2018	TCGA-AB-2929-03	0.0927	-0.1888	0.5021
laml_tcga_pan_can_atlas_2018	TCGA-AB-2830-03	0.9469	-0.1856	1.6127
laml_tcga_pan_can_atlas_2018	TCGA-AB-2814-03	1.71	-0.8062	-0.5714
laml_tcga_pan_can_atlas_2018	TCGA-AB-2846-03	-1.0103	0.7388	-0.0761
laml_tcga_pan_can_atlas_2018	TCGA-AB-2979-03	-1.6147	-0.1847	1.5538
laml_tcga_pan_can_atlas_2018	TCGA-AB-2880-03	1.1336	-1.5946	-0.1468
laml_tcga_pan_can_atlas_2018	TCGA-AB-2848-03	-0.7859	-0.7186	0.5628
laml_tcga_pan_can_atlas_2018	TCGA-AB-3001-03	-1.0517	1.3704	-0.6222
laml_tcga_pan_can_atlas_2018	TCGA-AB-2820-03	-0.1463	-1.4726	1.2816
laml_tcga_pan_can_atlas_2018	TCGA-AB-2926-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2970-03	-1.3394	1.1995	-0.9218
laml_tcga_pan_can_atlas_2018	TCGA-AB-2823-03	-1.6147	0.1246	-0.0298
laml_tcga_pan_can_atlas_2018	TCGA-AB-2867-03	-1.6147	-0.2953	-0.8299
laml_tcga_pan_can_atlas_2018	TCGA-AB-2917-03	0.6473	-1.5301	-2.7061
laml_tcga_pan_can_atlas_2018	TCGA-AB-2826-03	0.3824	-1.9991	-0.5188
laml_tcga_pan_can_atlas_2018	TCGA-AB-2862-03	-1.6147	0.1078	-1.6406
laml_tcga_pan_can_atlas_2018	TCGA-AB-2836-03	0.041	-1.6447	0.6075
laml_tcga_pan_can_atlas_2018	TCGA-AB-2974-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2987-03	-0.7623	2.6193	-0.0642
laml_tcga_pan_can_atlas_2018	TCGA-AB-2991-03	-1.27	0.015	-1.0718
laml_tcga_pan_can_atlas_2018	TCGA-AB-2856-03	1.4937	-0.3794	1.4604
