0,1
TCGA-77-8131,Altered
TCGA-S3-AA10,Altered
TCGA-YA-A8S7,Altered
TCGA-ZU-A8S4,Altered
TCGA-AG-A016,Altered
TCGA-4B-A93V,Altered
TCGA-4N-A93T,Altered
TCGA-05-4250,Altered
TCGA-05-4395,Altered
TCGA-05-4396,Altered
TCGA-05-4405,Altered
TCGA-05-4420,Altered
TCGA-05-4427,Altered
TCGA-5R-AA1C,Altered
TCGA-6A-AB49,Altered
TCGA-18-3406,Altered
TCGA-18-3407,Altered
TCGA-18-3408,Altered
TCGA-18-3410,Altered
TCGA-18-3412,Altered
TCGA-18-3414,Altered
TCGA-18-3415,Altered
TCGA-18-3417,Altered
TCGA-18-3419,Altered
TCGA-18-3421,Altered
TCGA-18-4086,Altered
TCGA-18-4721,Altered
TCGA-18-5592,Altered
TCGA-21-1071,Altered
TCGA-21-1072,Altered
TCGA-21-1075,Altered
TCGA-21-1080,Altered
TCGA-21-1081,Altered
TCGA-21-1082,Altered
TCGA-21-5782,Altered
TCGA-21-5784,Altered
TCGA-21-5786,Altered
TCGA-21-5787,Altered
TCGA-22-A5C4,Altered
TCGA-22-0944,Altered
TCGA-22-1002,Altered
TCGA-22-1011,Altered
TCGA-22-1012,Altered
TCGA-22-1017,Altered
TCGA-22-4591,Altered
TCGA-22-4593,Altered
TCGA-22-4595,Altered
TCGA-22-4599,Altered
TCGA-22-4601,Altered
TCGA-22-4607,Altered
TCGA-22-4613,Altered
TCGA-22-5472,Altered
TCGA-22-5473,Altered
TCGA-22-5477,Altered
TCGA-22-5478,Altered
TCGA-22-5479,Altered
TCGA-22-5480,Altered
TCGA-22-5481,Altered
TCGA-22-5482,Altered
TCGA-22-5483,Altered
TCGA-22-5485,Altered
TCGA-33-A4WN,Altered
TCGA-33-A5GW,Altered
TCGA-33-AAS8,Altered
TCGA-33-AASB,Altered
TCGA-33-AASD,Altered
TCGA-33-AASI,Altered
TCGA-33-AASJ,Altered
TCGA-33-AASL,Altered
TCGA-33-4538,Altered
TCGA-33-4547,Altered
TCGA-33-4566,Altered
TCGA-33-4582,Altered
TCGA-33-4583,Altered
TCGA-33-4586,Altered
TCGA-33-4589,Altered
TCGA-33-6738,Altered
TCGA-34-2596,Altered
TCGA-34-2600,Altered
TCGA-34-5231,Altered
TCGA-34-5236,Altered
TCGA-34-5239,Altered
TCGA-34-5240,Altered
TCGA-34-5241,Altered
TCGA-34-5929,Altered
TCGA-34-7107,Altered
TCGA-34-8455,Altered
TCGA-34-8456,Altered
TCGA-35-3615,Altered
TCGA-37-A5EN,Altered
TCGA-37-3783,Altered
TCGA-37-4132,Altered
TCGA-37-4133,Altered
TCGA-37-5819,Altered
TCGA-38-4628,Altered
TCGA-38-4631,Altered
TCGA-38-6178,Altered
TCGA-39-5016,Altered
TCGA-39-5019,Altered
TCGA-39-5021,Altered
TCGA-39-5024,Altered
TCGA-39-5027,Altered
TCGA-39-5028,Altered
TCGA-39-5029,Altered
TCGA-39-5031,Altered
TCGA-39-5034,Altered
TCGA-39-5035,Altered
TCGA-39-5036,Altered
TCGA-39-5037,Altered
TCGA-43-A56V,Altered
TCGA-43-A474,Altered
TCGA-43-2578,Altered
TCGA-43-3394,Altered
TCGA-43-5670,Altered
TCGA-43-6143,Altered
